"","origin.code","landing.year","land.month","catch.mt","period"
"139",813,1993,6,11.3094320109588,27
"140",813,1993,8,8.85413359218369,27
"141",813,1993,9,32.5883825784035,27
"142",813,1993,10,7.03794758280339,27
"143",813,1993,11,13.3905162794495,28
"144",813,1993,12,15.5033520516007,28
"145",813,1994,1,13.2889114677359,28
"146",813,1994,2,11.3547913019024,28
"147",813,1994,3,4.2406401103138,28
"148",813,1994,4,6.92908528453883,28
"149",813,1994,5,12.259255563317,29
"150",813,1994,6,13.0816195081239,29
"151",813,1994,7,17.9278061525342,29
"152",813,1994,8,40.6573468443541,29
"153",813,1994,9,153.781785523129,29
"154",813,1994,10,68.8250129273979,29
"155",813,1994,11,25.319102611788,30
"156",813,1994,12,31.4830220173998,30
"157",813,1995,1,16.1914524952146,30
"158",813,1995,2,23.7641861182426,30
"159",813,1995,3,15.0756139380029,30
"160",813,1995,4,16.4776696210685,30
"161",813,1995,5,56.7267828469305,31
"162",813,1995,6,34.6245611488601,31
"163",813,1995,7,28.5799820377208,31
"164",813,1995,8,81.5301503206902,31
"165",813,1995,9,66.3089330587584,31
"166",813,1995,10,76.5079696274188,31
"167",813,1995,11,96.8624978454337,32
"168",813,1995,12,33.0964066369715,32
"169",813,1996,1,41.190318512941,32
"170",813,1996,2,14.6165779136541,32
"171",813,1996,3,31.4045050847765,32
"172",813,1996,4,19.1284665838104,32
"173",813,1996,5,13.3029728479284,33
"174",813,1996,6,15.2886120964157,33
"175",813,1996,7,21.0358247679872,33
"176",813,1996,8,15.9374404659306,33
"177",813,1996,9,36.0638114504994,33
"178",813,1996,10,27.5861599731473,33
"179",813,1996,11,8.37876822309514,34
"180",813,1996,12,6.81568705717992,34
"181",813,1997,1,20.6198800700347,34
"182",813,1997,2,13.2235940887772,34
"183",813,1997,3,4.40665511516724,34
"184",813,1997,4,12.1753408750714,34
"185",813,1997,5,21.6377425588083,35
"186",813,1997,6,29.0743983090056,35
"187",813,1997,7,8.47855866317098,35
"188",813,1997,8,21.1814280919161,35
"189",813,1997,9,34.8132557991853,35
"190",813,1997,10,28.3114550353349,35
"191",813,1997,11,18.9692554725985,36
"192",813,1997,12,12.39351906451,36
"193",813,1998,1,6.96083678819933,36
"194",813,1998,2,0.358338398454155,36
"195",813,1998,3,13.3261060863097,36
"196",813,1998,4,7.15724251798496,36
"197",813,1998,5,4.55180484618664,37
"198",813,1998,6,4.61984378260199,37
"199",813,1998,7,1.61433716468144,37
"200",813,1998,8,7.19307635783037,37
"201",813,1998,9,17.6842267601673,37
"202",813,1998,10,17.3503823788227,37
"203",813,1998,11,3.18875815333255,38
"204",813,1998,12,11.7934156453266,38
"205",813,1999,1,9.05961118015803,38
"206",813,1999,2,2.77644219865555,38
"207",813,1999,3,9.79579247217208,38
"208",813,1999,4,27.0876613656775,38
"209",813,1999,5,42.3528771398245,39
"210",813,1999,6,19.645562500567,39
"211",813,1999,7,8.64139851765837,39
"212",813,1999,8,10.937939418131,39
"213",813,1999,9,7.02706135297693,39
"214",813,1999,10,3.79884061652348,39
"215",813,1999,11,4.54772251000172,40
"216",813,1999,12,3.08579256289066,40
"217",813,2000,1,3.83966397837269,40
"218",813,2000,2,0.383286008473116,40
"219",813,2000,3,1.61569794340975,40
"220",813,2000,4,11.7662000707605,40
"221",813,2000,5,3.22549917899683,41
"222",813,2000,6,0.929411871433626,41
"223",813,2000,8,1.43698233709211,41
"224",813,2000,9,0.778365432591558,41
"225",813,2000,11,4.29779281690269,42
"226",813,2000,12,0.389636309205215,42
"227",813,2001,1,2.98237337953933,42
"228",813,2001,2,6.67053732616052,42
"229",813,2001,3,2.85944970108227,42
"230",813,2001,5,3.26224020466112,43
"231",813,2001,6,0.894938810316517,43
"232",813,2001,7,9.54994511525796,43
"233",813,2001,8,1.95044951057325,43
"234",813,2001,9,4.54273298799793,43
"235",813,2001,10,7.96917382587475,43
"236",813,2001,11,1.79622792136513,44
"237",813,2001,12,17.5227476844082,44
"238",813,2002,1,15.7047473033902,44
"239",813,2002,2,0.841868439912547,44
"240",813,2002,3,2.06339414502273,44
"241",813,2002,4,1.77763061207827,44
"242",813,2002,5,5.26077056363455,45
"243",813,2002,7,0.937122950894032,45
"244",813,2002,9,0.929865464343061,45
"245",813,2002,10,5.87538895591984,45
"246",813,2002,11,9.63612776805073,46
"247",813,2002,12,2.62131342362856,46
"248",813,2003,1,5.05075704656585,46
"249",813,2003,2,9.33947800527982,46
"250",813,2003,3,21.287568832724,46
"251",813,2003,4,3.44004862515989,46
"252",813,2003,5,5.14827952209451,47
"253",813,2003,6,7.9977501791692,47
"254",813,2003,7,5.96610753780697,47
"255",813,2003,8,6.14890548030953,47
"256",813,2003,9,32.3357313278479,47
"257",813,2003,10,9.15668006277726,47
"258",813,2003,11,2.8317805336067,48
"259",813,2003,12,6.39339205849534,48
"260",813,2004,1,19.6060999174461,48
"261",813,2004,2,1.32449129555207,48
"262",813,2004,3,9.34628189892136,48
"263",813,2004,5,4.5028168119676,49
"264",813,2004,6,1.04689243497746,49
"265",813,2004,7,1.57487458156054,49
"266",813,2004,8,0.274423710208562,49
"267",813,2004,9,4.55815514691874,49
"268",813,2004,10,11.8306102639004,49
"269",813,2004,11,6.86739664885559,50
"270",813,2004,12,8.11749870726021,50
"271",813,2005,1,6.91502390434633,50
"272",813,2005,2,33.4143752664858,50
"273",813,2005,3,13.8509130825267,50
"274",813,2005,4,11.8659905108363,50
"275",813,2005,5,12.2773992796945,51
"276",813,2005,6,5.5909862017037,51
"277",813,2005,7,2.22033729168746,51
"278",813,2005,9,4.26150538414783,51
"279",813,2005,11,2.28610826355562,52
"280",813,2006,1,1.20428917455162,52
"281",813,2006,2,1.46964102657147,52
"282",813,2006,3,6.60249838974517,52
"283",813,2006,4,24.8219647830465,52
"284",813,2006,5,23.6916112527329,53
"285",813,2006,7,1.65652130525896,53
"286",813,2006,8,9.49596755903512,53
"287",813,2006,10,17.4274931734267,53
"288",813,2006,11,4.10501583039254,54
"289",813,2006,12,5.27936787292141,54
"290",813,2007,1,12.7078589507489,54
"291",813,2007,2,11.3035353031361,54
"292",813,2007,3,5.43631101958614,54
"293",813,2007,4,3.35885549437091,54
"294",813,2007,5,23.5695947600947,55
"295",813,2007,6,28.62080539957,55
"296",813,2007,7,25.3417822572598,55
"297",813,2007,8,35.5335613393691,55
"298",813,2007,9,35.5852709310448,55
"299",813,2007,10,20.8675417985866,55
"300",813,2007,11,6.31673485680072,56
"301",813,2007,12,4.78132285836108,56
"302",813,2008,5,9.21610073391333,57
"303",813,2008,6,4.03470892943001,57
"304",813,2008,7,3.28854859340839,57
"305",813,2008,8,12.8629877257759,57
"306",813,2008,9,15.8707623082436,57
"307",813,2008,10,6.2999519191516,57
"308",813,2008,11,3.05041231595468,58
"309",813,2008,12,5.20271067122679,58
"310",813,2009,1,2.05704384429063,58
"311",813,2009,3,1.1072202919324,58
"312",813,2009,5,0.877702279757963,59
"313",813,2009,6,2.35868312906533,59
"314",813,2009,9,0.438170750514828,59
"315",813,2009,10,4.91694713828233,59
"316",813,2009,11,2.92930300913536,60
"317",813,2010,3,3.09803957144542,60
"318",813,2010,4,3.91450680842957,60
"319",813,2010,5,2.89936587711261,61
"320",813,2010,6,2.85627455071622,61
"321",813,2010,7,1.44922934564687,61
"322",813,2010,8,7.74691330025129,61
"323",813,2010,9,0.727563026734766,61
"324",813,2010,11,1.66015004853444,62
"325",813,2010,12,4.14130326314739,62
"326",813,2011,2,1.42564251435622,62
"327",813,2011,3,2.65351852019849,62
"328",813,2011,5,3.84646787201422,63
"329",813,2011,6,3.23457103718555,63
"330",813,2011,7,0.535239633134055,63
"331",813,2011,8,0.984296613475338,63
"332",813,2011,9,2.26569658263102,63
"333",813,2011,10,4.01656521305259,63
"334",814,1978,8,2.10920702887572,NA
"335",814,1979,2,3.32483602616324,NA
"336",814,1979,4,5.37507597681233,NA
"337",814,1979,8,1.8415872123087,NA
"338",814,1979,9,2.42672206548067,NA
"339",814,1979,10,2.2362130435177,NA
"340",814,1979,11,15.6126679427747,NA
"341",814,1979,12,98.763052135969,NA
"342",814,1980,1,51.5100107955112,NA
"343",814,1980,2,38.1244840380655,NA
"344",814,1980,3,3.59699177182462,NA
"345",814,1980,5,6.25958215021183,NA
"346",814,1980,9,2.34961127087661,1
"347",814,1980,11,4.23655777412888,2
"348",814,1980,12,7.2302709764041,2
"349",814,1981,1,3.72853371556096,2
