"period","mei.mean","pdo.mean","npgo.mean","waves.max","sst.mean"
1,0.287674431601179,-0.142835804023944,-0.913682882743096,NA,NA
2,-0.261451734461042,0.460193690954092,-0.652160302957472,NA,NA
3,-0.29039391356644,0.509579727180741,-0.410928268155216,NA,NA
4,-0.410038814689644,0.0599068710117754,-0.399655743164456,NA,NA
5,1.29806657715567,-0.0362659363769632,-0.672450847940839,NA,NA
6,2.55291677122538,0.753910643249428,0.150443476384614,1.74590670156661,NA
7,1.16007440177815,1.93917551268902,-0.259876433279037,-0.445078567913675,NA
8,-0.52787482961876,1.29975630680713,-0.0862795484213381,0.743647482549035,NA
9,-0.406421042301469,-0.137637273894823,0.393930016185023,-0.771395522942655,NA
10,-0.934615810974966,0.631745185215085,0.0309547114825622,-0.445078567913675,NA
11,-0.592477907979022,0.34582602811343,-0.368092673190329,-1.82027144982152,NA
12,-0.494022816557983,1.07102098112581,-1.12109734257307,NA,NA
13,0.378635565932427,0.400410594469201,-0.902410357752336,-0.887937292595862,NA
14,1.08203388311895,1.64545856039368,0.154952486380918,1.00003937578609,NA
15,1.69085329358606,1.77802107868626,0.163970506373526,-0.724778815081372,NA
16,0.6290370976568,0.959252583349708,0.668979625959558,0.417330527520055,NA
17,-1.4819330908431,0.00792156972056535,1.25515092547906,-0.911245646526503,NA
18,-1.52250382405334,-1.14355285387974,0.689270170942925,-0.118761612884696,NA
19,-0.677495559101125,0.0417120155598518,0.563017891046417,-0.981170708318427,NA
20,0.183275856970997,-0.766659419518463,-0.0299169234675399,-0.0488365510927716,NA
21,-0.00562354415440748,0.00792156972056535,-0.320748068229139,-0.398461860052393,NA
22,0.0633725435343516,-1.91033604792508,-0.897901347756032,-1.12102083190228,NA
23,0.711729037957934,-0.449549081642082,-0.674705352938991,NA,NA
24,1.49394311074398,-0.0128725507959186,-0.361329158195873,NA,NA
25,0.700100483853087,1.10741069202966,-1.2653856624548,NA,NA
26,0.554355939072338,0.0936973168510618,-2.06798944179688,NA,NA
27,0.93809822453229,2.01975272969039,-1.69599611710181,NA,NA
28,0.042699558459068,0.649940040667008,-1.86959300195951,NA,NA
29,0.565984493177185,-0.727670443550056,-0.875356297774513,NA,NA
30,0.810184129378973,-0.582111599934668,-1.29243972243262,NA,NA
31,-0.261451734461042,0.826690065057122,-1.13913338255829,NA,NA
32,-0.809802663582941,0.348425293177991,-0.726558967896486,NA,NA
33,-0.544154805365546,0.208064979691724,-0.952009467711678,-1.37741272513933,1.56187040669195
34,-0.718583116938252,-0.0102732857313581,-1.20000501750839,NA,NA
35,2.59297067980874,2.31866821211485,-0.807721147829955,-0.421770213983034,2.09073663735424
36,2.39838620778764,1.01383714970548,0.67123413095771,NA,NA
37,-0.118291312814703,-0.582111599934668,0.0489907514677776,-0.398461860052393,1.5929801849662
38,-1.39019671957153,-0.758861624324782,1.2438784004883,NA,NA
39,-0.971310359483594,-1.46066319175612,1.22133335050678,-1.30748766334741,0.410808610544613
40,-1.50519019905279,-1.38788376994842,1.37914870037741,1.55943987012148,-1.39355852936202
41,-0.451384784840211,-1.22153080581655,1.32729508541992,-0.18868667467662,0.62857705846438
42,-0.889652068436224,0.179473063981558,2.20204302470287,1.48951480832956,-1.0824607466195
43,-0.159120458338388,-1.32290214333441,1.5910721702037,-0.724778815081372,0.34858905399611
44,-0.379029337076718,-0.75366309419566,1.65870732014825,1.69928999370533,-1.33133897281351
45,0.583039705864294,-0.207817430637956,0.90570265076551,-0.468386921844317,0.732276319378555
46,0.764445149899908,1.63246223507088,1.46256538530904,1.60605657798277,-0.646923850779965
47,-0.0472279266184158,0.353623823307112,0.682506655948469,-0.724778815081372,0.177485273487722
48,-0.0461942773646516,0.176873798916998,0.211315111334716,1.2331229150925,-1.12912541403087
49,0.220745642419948,0.236656895401889,0.373639471201655,0.557180651103904,0.364143943133235
50,0.436778336456662,0.330230437726067,-1.40516497234022,0.766955836479676,-0.491374959408704
51,0.140121000626342,0.117090702432106,-1.40741947733837,-0.86462893866522,0.62857705846438
52,-0.80230870649315,0.200267184498042,-0.96553649770059,NA,NA
53,0.427992317799667,-0.355975539317904,-0.437982328133039,-0.35184515219111,0.566357501915877
54,0.391297769291038,-0.348177744124223,-0.419946288147823,1.1165811454393,-0.94765170743107
55,-0.814970909851762,-0.0414644665060841,0.948538245730397,-0.934554000457144,0.535247723641624
56,-1.59821863189157,-1.09936534778221,0.65996160596695,NA,NA
57,-0.455777794168709,-1.93113016844157,1.46031088031088,0.044396864629794,0.581912391053002
58,-0.988107159857262,-1.71019263795392,0.407457046173934,0.533872297173263,-1.23800963799076
59,0.646092310343909,-0.363773334511586,0.457056156133277,-0.957862354387786,0.581912391053002
60,1.03138506968451,0.260050280982934,1.35434914539774,1.65267328584405,-0.709143407328468
61,-1.64395761137064,-1.3826852398193,0.871885075793231,0.207555342144283,-0.335826068037442
62,-1.903145161752,-1.25272198659128,0.506655266092619,1.53613151619084,-1.64243675555604
63,-0.673360962086069,-1.88434339727948,0.883157600783991,-0.5150036297056,0.146375495213469
