"period","site","dens","spp","norm"
57,"1_10R",0,"eis",-0.371479575619826
58,"1_10R",NA,"eis",NA
59,"1_10R",NA,"eis",NA
60,"1_10R",NA,"eis",NA
61,"1_10R",0,"eis",-0.371479575619826
62,"1_10R",NA,"eis",NA
63,"1_10R",0,"eis",-0.371479575619826
1,"1_10R",1.5,"lam",0.898416281011291
2,"1_10R",1.75,"lam",1.16975005715564
3,"1_10R",1.5,"lam",0.898416281011291
4,"1_10R",3.05,"lam",2.58068569310626
5,"1_10R",2.05,"lam",1.49535058852886
6,"1_10R",2.45,"lam",1.92948463035982
7,"1_10R",2.15,"lam",1.6038840989866
8,"1_10R",NA,"lam",NA
9,"1_10R",1.7,"lam",1.11548330192677
10,"1_10R",1.6,"lam",1.00694979146903
11,"1_10R",2.1,"lam",1.54961734375773
12,"1_10R",2.15,"lam",1.6038840989866
13,"1_10R",2.35,"lam",1.82095111990208
14,"1_10R",1.9,"lam",1.33255032284225
15,"1_10R",1.55,"lam",0.952683036240161
16,"1_10R",1.2,"lam",0.572815749638072
17,"1_10R",1.9,"lam",1.33255032284225
18,"1_10R",2.25,"lam",1.71241760944434
19,"1_10R",1.05,"lam",0.410015483951462
20,"1_10R",NA,"lam",NA
21,"1_10R",0.1,"lam",-0.621052865397067
22,"1_10R",0,"lam",-0.729586375854807
23,"1_10R",0,"lam",-0.729586375854807
24,"1_10R",0,"lam",-0.729586375854807
25,"1_10R",0,"lam",-0.729586375854807
26,"1_10R",NA,"lam",NA
27,"1_10R",0,"lam",-0.729586375854807
28,"1_10R",0,"lam",-0.729586375854807
29,"1_10R",0,"lam",-0.729586375854807
30,"1_10R",0,"lam",-0.729586375854807
31,"1_10R",0,"lam",-0.729586375854807
32,"1_10R",0,"lam",-0.729586375854807
33,"1_10R",0,"lam",-0.729586375854807
34,"1_10R",0,"lam",-0.729586375854807
35,"1_10R",0,"lam",-0.729586375854807
36,"1_10R",0,"lam",-0.729586375854807
37,"1_10R",0,"lam",-0.729586375854807
38,"1_10R",0,"lam",-0.729586375854807
39,"1_10R",0.05,"lam",-0.675319620625937
40,"1_10R",0,"lam",-0.729586375854807
41,"1_10R",0,"lam",-0.729586375854807
42,"1_10R",0.1,"lam",-0.621052865397067
43,"1_10R",0,"lam",-0.729586375854807
44,"1_10R",0,"lam",-0.729586375854807
45,"1_10R",0,"lam",-0.729586375854807
46,"1_10R",0.25,"lam",-0.458252599710457
47,"1_10R",0.15,"lam",-0.566786110168197
48,"1_10R",NA,"lam",NA
49,"1_10R",0.05,"lam",-0.675319620625937
50,"1_10R",0.15,"lam",-0.566786110168197
51,"1_10R",0.05,"lam",-0.675319620625937
52,"1_10R",0.3,"lam",-0.403985844481587
53,"1_10R",0.4,"lam",-0.295452334023847
54,"1_10R",0.25,"lam",-0.458252599710457
55,"1_10R",0.05,"lam",-0.675319620625937
56,"1_10R",NA,"lam",NA
57,"1_10R",0,"lam",-0.729586375854807
58,"1_10R",NA,"lam",NA
59,"1_10R",NA,"lam",NA
60,"1_10R",NA,"lam",NA
61,"1_10R",0.1,"lam",-0.621052865397067
62,"1_10R",NA,"lam",NA
63,"1_10R",0.1,"lam",-0.621052865397067
1,"1_10R",0.3,"mac",1.84425951401342
2,"1_10R",0.05,"mac",-0.0563132676034632
3,"1_10R",0.15,"mac",0.70391584504329
4,"1_10R",0.2,"mac",1.08403040136667
5,"1_10R",0.15,"mac",0.70391584504329
6,"1_10R",0.25,"mac",1.46414495769004
7,"1_10R",0.1,"mac",0.323801288719914
8,"1_10R",NA,"mac",NA
9,"1_10R",0.1,"mac",0.323801288719914
10,"1_10R",0,"mac",-0.43642782392684
11,"1_10R",0.05,"mac",-0.0563132676034632
12,"1_10R",0,"mac",-0.43642782392684
13,"1_10R",0.1,"mac",0.323801288719914
14,"1_10R",0,"mac",-0.43642782392684
15,"1_10R",0.05,"mac",-0.0563132676034632
16,"1_10R",0,"mac",-0.43642782392684
17,"1_10R",0,"mac",-0.43642782392684
18,"1_10R",0,"mac",-0.43642782392684
19,"1_10R",0.05,"mac",-0.0563132676034632
20,"1_10R",NA,"mac",NA
21,"1_10R",0,"mac",-0.43642782392684
22,"1_10R",0,"mac",-0.43642782392684
23,"1_10R",0,"mac",-0.43642782392684
24,"1_10R",0,"mac",-0.43642782392684
25,"1_10R",0,"mac",-0.43642782392684
26,"1_10R",NA,"mac",NA
27,"1_10R",0,"mac",-0.43642782392684
28,"1_10R",0,"mac",-0.43642782392684
29,"1_10R",0,"mac",-0.43642782392684
30,"1_10R",0,"mac",-0.43642782392684
31,"1_10R",0,"mac",-0.43642782392684
32,"1_10R",0,"mac",-0.43642782392684
33,"1_10R",0,"mac",-0.43642782392684
34,"1_10R",0,"mac",-0.43642782392684
35,"1_10R",0,"mac",-0.43642782392684
36,"1_10R",0,"mac",-0.43642782392684
37,"1_10R",0,"mac",-0.43642782392684
38,"1_10R",0.05,"mac",-0.0563132676034632
39,"1_10R",0,"mac",-0.43642782392684
40,"1_10R",0,"mac",-0.43642782392684
41,"1_10R",0,"mac",-0.43642782392684
42,"1_10R",0,"mac",-0.43642782392684
43,"1_10R",0,"mac",-0.43642782392684
44,"1_10R",0,"mac",-0.43642782392684
45,"1_10R",0,"mac",-0.43642782392684
46,"1_10R",0.8,"mac",5.64540507724719
47,"1_10R",0.3,"mac",1.84425951401342
48,"1_10R",NA,"mac",NA
49,"1_10R",0.15,"mac",0.70391584504329
50,"1_10R",0,"mac",-0.43642782392684
51,"1_10R",0,"mac",-0.43642782392684
52,"1_10R",0,"mac",-0.43642782392684
53,"1_10R",0.25,"mac",1.46414495769004
54,"1_10R",0,"mac",-0.43642782392684
55,"1_10R",0,"mac",-0.43642782392684
56,"1_10R",NA,"mac",NA
57,"1_10R",0,"mac",-0.43642782392684
