"","period","east","west"
"1",1,13.4943890557103,2.34961127087661
"2",2,72.506826573287,34.7225372172982
"3",3,44.3432428264281,44.3886021173717
"4",4,2.55826400921701,0.166922190672315
"5",5,NA,2.59908737106622
"6",6,NA,NA
"7",7,62.5504622111747,NA
"8",8,144.86396748646,5.50888588509584
"9",9,83.7695385145739,NA
"10",10,101.935480944562,274.092587384674
"11",11,143.448757609021,38.7232266785206
"12",12,363.689887599677,274.748029138809
"13",13,372.393428345928,81.7437925810344
"14",14,571.476717075959,245.674991608531
"15",15,623.140495867769,93.540383376727
"16",16,1039.03892734349,19.7149622157106
"17",17,267.361268608649,8.18508405076612
"18",18,21.1709954549991,97.9533887926264
"19",19,3.22958151518176,38.5254601700066
"20",20,16.4468253032269,84.4000326586895
"21",21,350.923061570702,252.365487022707
"22",22,491.307345483575,151.734539285682
"23",23,258.007275630267,387.91174896354
"24",24,239.810488882438,169.487258575174
"25",25,66.0036650307082,195.866861409222
"26",26,78.317805336067,140.542587838267
"27",27,71.4204715551887,293.511353430523
"28",28,64.7072964955412,196.129038110876
"29",29,306.532826518856,161.970543676461
"30",30,128.311046801716,403.175603958959
"31",31,344.278379040379,368.392058495342
"32",32,236.298772577587,314.745942611425
"33",33,129.214821601909,85.9236512414838
"34",34,65.6199254293257,174.679990202393
"35",35,143.496838457421,190.240948553492
"36",36,59.1652983280565,228.280157124584
"37",37,53.0136712902904,137.61419201495
"38",38,63.7016810153224,228.172655605048
"39",39,92.4036795456813,210.051618873094
"40",40,25.2383630739084,335.674175141294
"41",41,6.37025882011412,84.660848581615
"42",42,17.19978953289,56.2781794594987
"43",43,28.1694804546815,25.5527029601473
"44",44,39.706616106177,58.3456559407063
"45",45,13.0031479347915,49.0855566945777
"46",46,51.3752937014089,19.0377480019232
"47",47,66.7534541100054,33.3018842249458
"48",48,39.5020457040216,39.2561983471074
"49",49,23.7877729495333,0.993368471664051
"50",50,81.031198120311,8.62189402255264
"51",51,24.3502281572334,18.2230951365768
"52",52,36.3845016374704,47.8608558391015
"53",53,52.2715932904537,103.194654861155
"54",54,42.190944471156,11.7761791147681
"55",55,169.518556485925,93.0709147154612
"56",56,11.0980577151618,8.64094492474894
"57",57,51.5730602099228,11.3806460977402
"58",58,11.4173871234045,7.94604058749354
"59",59,8.59150329762045,9.43473251626131
"60",60,9.94184938901035,3.08261741252461
"61",61,15.6793461004618,41.5681614065009
"62",62,9.88061434623654,28.0433816258584
"63",63,14.8828369514928,9.99596302310602
